step,t,phase,move,move_name,trunk_z,trunk_roll,trunk_pitch,trunk_vz,trunk_roll_rate
129,2.5800,0.860925,2,head_bob,0.115398,-0.001458,0.002392,0.001170,-0.002919
130,2.6000,1.112169,2,head_bob,0.115421,-0.001501,0.001470,0.000773,-0.004302
131,2.6200,1.363413,2,head_bob,0.115455,-0.001600,0.000124,0.002349,-0.002423
132,2.6400,1.614656,2,head_bob,0.115503,-0.001727,-0.001206,0.001831,-0.002822
133,2.6600,1.865900,2,head_bob,0.115526,-0.001755,-0.002061,0.000953,-0.000279
134,2.6800,2.117144,2,head_bob,0.115541,-0.001813,-0.002297,0.000641,-0.003812
135,2.7000,2.368387,2,head_bob,0.115540,-0.001900,-0.002001,-0.000760,-0.006151
136,2.7200,2.619631,2,head_bob,0.115521,-0.001958,-0.001408,-0.000979,-0.000506
137,2.7400,2.870874,2,head_bob,0.115510,-0.001730,-0.000546,0.000125,0.020432
138,2.7600,3.122118,2,head_bob,0.115481,-0.001335,0.000655,-0.002116,0.015818
139,2.7800,-2.909824,2,head_bob,0.115445,-0.001211,0.001967,-0.001558,-0.003377
140,2.8000,-2.658580,2,head_bob,0.115383,-0.001133,0.003375,-0.002898,-0.000552
141,2.8200,-2.407336,2,head_bob,0.115338,-0.001263,0.004663,-0.002014,-0.010642
142,2.8400,-2.156093,2,head_bob,0.115298,-0.001389,0.005561,-0.001376,-0.008721
143,2.8600,-1.904849,2,head_bob,0.115289,-0.001582,0.005800,-0.000043,-0.009052
144,2.8800,-1.653605,2,head_bob,0.115296,-0.001757,0.005488,0.000618,-0.007859
145,2.9000,-1.402362,2,head_bob,0.115318,-0.001892,0.004740,0.001332,-0.004034
146,2.9200,-1.151118,2,head_bob,0.115347,-0.001947,0.003816,0.001116,0.003121
147,2.9400,-0.899874,2,head_bob,0.115363,-0.001786,0.003146,0.000840,0.010190
148,2.9600,-0.648631,2,head_bob,0.115382,-0.001594,0.002733,0.001009,0.009771
149,2.9800,-0.397387,2,head_bob,0.115395,-0.001585,0.002608,0.000909,-0.000188
150,3.0000,-0.146144,2,head_bob,0.115404,-0.001526,0.002695,0.000247,0.004856
151,3.0200,0.105100,2,head_bob,0.115402,-0.001371,0.002961,-0.000343,0.008951
152,3.0400,0.356344,2,head_bob,0.115397,-0.001238,0.003157,0.000265,-0.000219
153,3.0600,0.607587,2,head_bob,0.115394,-0.001294,0.002955,-0.000425,-0.002489
154,3.0800,0.858831,2,head_bob,0.115399,-0.001444,0.002416,0.001162,-0.002884
155,3.1000,1.110075,2,head_bob,0.115422,-0.001485,0.001501,0.000763,-0.004274
156,3.1200,1.361318,2,head_bob,0.115456,-0.001585,0.000159,0.002339,-0.002425
157,3.1400,1.612562,2,head_bob,0.115503,-0.001710,-0.001174,0.001825,-0.002815
158,3.1600,1.863806,2,head_bob,0.115527,-0.001739,-0.002038,0.000953,-0.000269
159,3.1800,2.115049,2,head_bob,0.115542,-0.001797,-0.002286,0.000645,-0.003816
160,3.2000,2.366293,2,head_bob,0.115536,-0.001905,-0.002024,-0.000856,-0.006649
161,3.2200,2.617536,2,head_bob,0.115518,-0.001958,-0.001457,-0.000876,0.000031
162,3.2400,2.868780,2,head_bob,0.115509,-0.001719,-0.000610,0.000200,0.020939
163,3.2600,3.120024,2,head_bob,0.115481,-0.001317,0.000585,-0.002071,0.016125
164,3.2800,-2.911918,2,head_bob,0.115445,-0.001190,0.001896,-0.001533,-0.003319
165,3.3000,-2.660674,2,head_bob,0.115384,-0.001113,0.003308,-0.002889,-0.000629
166,3.3200,-2.409431,2,head_bob,0.115339,-0.001246,0.004618,-0.002024,-0.010843
167,3.3400,-2.158187,2,head_bob,0.115298,-0.001376,0.005535,-0.001390,-0.008852
168,3.3600,-1.906943,2,head_bob,0.115289,-0.001571,0.005788,-0.000050,-0.009143
169,3.3800,-1.655700,2,head_bob,0.115297,-0.001746,0.005484,0.000611,-0.007906
170,3.4000,-1.404456,2,head_bob,0.115318,-0.001881,0.004742,0.001325,-0.004063
171,3.4200,-1.153212,2,head_bob,0.115347,-0.001937,0.003820,0.001112,0.003123
172,3.4400,-0.901969,2,head_bob,0.115363,-0.001776,0.003150,0.000840,0.010161
173,3.4600,-0.650725,2,head_bob,0.115382,-0.001585,0.002736,0.001017,0.009706
174,3.4800,-0.399482,2,head_bob,0.115396,-0.001597,0.002608,0.000672,0.000388
175,3.5000,-0.148238,2,head_bob,0.115403,-0.001529,0.002697,0.000230,0.005152
176,3.5200,0.103006,2,head_bob,0.115401,-0.001371,0.002967,-0.000332,0.009031
177,3.5400,0.354249,2,head_bob,0.115397,-0.001238,0.003165,0.000274,-0.000248
178,3.5600,0.605493,2,head_bob,0.115394,-0.001294,0.002966,-0.000422,-0.002472
179,3.5800,0.856737,2,head_bob,0.115399,-0.001443,0.002432,0.001155,-0.002858
180,3.6000,1.107980,2,head_bob,0.115422,-0.001482,0.001524,0.000753,-0.004117
181,3.6200,1.359224,2,head_bob,0.115456,-0.001579,0.000185,0.002333,-0.002375
182,3.6400,1.610468,2,head_bob,0.115503,-0.001705,-0.001151,0.001826,-0.002794
183,3.6600,1.861711,2,head_bob,0.115526,-0.001733,-0.002022,0.000958,-0.000263
184,3.6800,2.112955,2,head_bob,0.115542,-0.001791,-0.002280,0.000655,-0.003829
185,3.7000,2.364198,2,head_bob,0.115536,-0.001900,-0.002028,-0.000851,-0.006668
186,3.7200,2.615442,2,head_bob,0.115518,-0.001954,-0.001466,-0.000870,-0.000033
