step,t,phase,move,move_name,trunk_z,trunk_roll,trunk_pitch,trunk_vz,trunk_roll_rate
136,2.7200,2.619631,0,squat_bounce,0.108275,-0.000356,-0.008970,0.001971,0.003047
137,2.7400,2.870874,0,squat_bounce,0.108308,-0.000241,-0.008339,0.000936,0.007855
138,2.7600,3.122118,0,squat_bounce,0.108288,-0.000045,-0.007403,-0.002109,0.010128
139,2.7800,-2.909824,0,squat_bounce,0.108200,0.000093,-0.006123,-0.005645,0.004683
140,2.8000,-2.658580,0,squat_bounce,0.108039,0.000093,-0.004767,-0.009404,-0.002555
141,2.8200,-2.407336,0,squat_bounce,0.107789,-0.000015,-0.003588,-0.014015,-0.009004
142,2.8400,-2.156093,0,squat_bounce,0.107468,-0.000156,-0.002204,-0.016964,-0.005443
143,2.8600,-1.904849,0,squat_bounce,0.107113,-0.000211,-0.000913,-0.017285,0.000270
144,2.8800,-1.653605,0,squat_bounce,0.106765,-0.000175,0.000052,-0.018028,-0.002298
145,2.9000,-1.402362,0,squat_bounce,0.106404,-0.000445,0.000707,-0.016332,-0.013774
146,2.9200,-1.151118,0,squat_bounce,0.106146,-0.000504,0.000666,-0.011206,0.002551
147,2.9400,-0.899874,0,squat_bounce,0.105970,-0.000462,0.000071,-0.007809,-0.003702
148,2.9600,-0.648631,0,squat_bounce,0.105867,-0.000638,-0.000584,-0.003403,-0.011727
149,2.9800,-0.397387,0,squat_bounce,0.105860,-0.000917,-0.001212,-0.000027,-0.022461
150,3.0000,-0.146144,0,squat_bounce,0.105923,-0.001235,-0.002130,0.005426,-0.008008
151,3.0200,0.105100,0,squat_bounce,0.106046,-0.001298,-0.003394,0.007074,-0.001985
152,3.0400,0.356344,0,squat_bounce,0.106248,-0.001249,-0.004861,0.011929,0.001837
153,3.0600,0.607587,0,squat_bounce,0.106512,-0.001370,-0.006169,0.014149,-0.003131
154,3.0800,0.858831,0,squat_bounce,0.106807,-0.001354,-0.007260,0.015099,0.003839
155,3.1000,1.110075,0,squat_bounce,0.107110,-0.001206,-0.008092,0.014960,0.007656
156,3.1200,1.361318,0,squat_bounce,0.107404,-0.001035,-0.008621,0.014266,0.007689
157,3.1400,1.612562,0,squat_bounce,0.107680,-0.000816,-0.008930,0.013131,0.014046
158,3.1600,1.863806,0,squat_bounce,0.107904,-0.000575,-0.009098,0.010458,0.012149
159,3.1800,2.115049,0,squat_bounce,0.108095,-0.000325,-0.009306,0.008541,0.010474
160,3.2000,2.366293,0,squat_bounce,0.108207,-0.000302,-0.009394,0.004384,-0.003313
161,3.2200,2.617536,0,squat_bounce,0.108255,-0.000418,-0.009041,0.001433,-0.006100
162,3.2400,2.868780,0,squat_bounce,0.108265,-0.000425,-0.008559,0.000461,0.006141
163,3.2600,3.120024,0,squat_bounce,0.108254,-0.000194,-0.007976,-0.001419,0.009749
164,3.2800,-2.911918,0,squat_bounce,0.108178,-0.000042,-0.006815,-0.005178,0.006826
165,3.3000,-2.660674,0,squat_bounce,0.108024,0.000026,-0.005352,-0.008998,0.001280
166,3.3200,-2.409431,0,squat_bounce,0.107786,-0.000044,-0.003938,-0.013849,-0.006397
167,3.3400,-2.158187,0,squat_bounce,0.107475,-0.000126,-0.002779,-0.016508,-0.007546
168,3.3600,-1.906943,0,squat_bounce,0.107119,-0.000250,-0.001479,-0.018257,-0.005188
169,3.3800,-1.655700,0,squat_bounce,0.106751,-0.000335,-0.000325,-0.018169,-0.004242
170,3.4000,-1.404456,0,squat_bounce,0.106422,-0.000430,0.000515,-0.015402,-0.005501
171,3.4200,-1.153212,0,squat_bounce,0.106166,-0.000401,0.000585,-0.011276,0.004113
172,3.4400,-0.901969,0,squat_bounce,0.105975,-0.000496,0.000191,-0.008149,-0.009803
173,3.4600,-0.650725,0,squat_bounce,0.105883,-0.000597,-0.000520,-0.002905,0.003282
174,3.4800,-0.399482,0,squat_bounce,0.105863,-0.000935,-0.001200,0.001501,-0.016962
175,3.5000,-0.148238,0,squat_bounce,0.105930,-0.001139,-0.001999,0.003173,-0.009817
176,3.5200,0.103006,0,squat_bounce,0.106050,-0.001057,-0.003226,0.007950,0.000849
177,3.5400,0.354249,0,squat_bounce,0.106266,-0.001090,-0.004746,0.012107,0.000416
178,3.5600,0.605493,0,squat_bounce,0.106524,-0.001154,-0.006291,0.013844,0.001184
179,3.5800,0.856737,0,squat_bounce,0.106817,-0.001003,-0.007646,0.013692,0.008389
180,3.6000,1.107980,0,squat_bounce,0.107112,-0.000941,-0.008586,0.015421,0.004874
181,3.6200,1.359224,0,squat_bounce,0.107420,-0.000779,-0.009313,0.015116,0.009380
182,3.6400,1.610468,0,squat_bounce,0.107686,-0.000594,-0.009680,0.012831,0.012542
183,3.6600,1.861711,0,squat_bounce,0.107920,-0.000333,-0.009962,0.010548,0.007540
184,3.6800,2.112955,0,squat_bounce,0.108088,-0.000351,-0.010089,0.007574,0.000593
185,3.7000,2.364198,0,squat_bounce,0.108203,-0.000387,-0.009716,0.004647,-0.000479
186,3.7200,2.615442,0,squat_bounce,0.108262,-0.000317,-0.009076,0.002556,0.008190
187,3.7400,2.866686,0,squat_bounce,0.108300,-0.000054,-0.008545,0.001069,0.012288
188,3.7600,3.117929,0,squat_bounce,0.108281,0.000155,-0.007640,-0.002122,0.009293
189,3.7800,-2.914012,0,squat_bounce,0.108193,0.000262,-0.006326,-0.005647,0.003164
