step,t,phase,move,move_name,trunk_z,trunk_roll,trunk_pitch,trunk_vz,trunk_roll_rate
97,1.9400,-0.895686,1,weight_shift,0.115442,-0.003420,0.000256,-0.000104,-0.000857
98,1.9600,-0.644442,1,weight_shift,0.115439,-0.003426,0.000144,-0.000159,0.000453
99,1.9800,-0.393198,1,weight_shift,0.115436,-0.003437,-0.000235,-0.000083,0.000239
100,2.0000,-0.141955,1,weight_shift,0.115440,-0.003432,-0.000731,0.000174,-0.000886
101,2.0200,0.109289,1,weight_shift,0.115442,-0.003503,-0.001288,0.000047,-0.002134
102,2.0400,0.360533,1,weight_shift,0.115442,-0.003571,-0.001983,-0.000038,-0.000968
103,2.0600,0.611776,1,weight_shift,0.115448,-0.003577,-0.002742,0.000207,0.000033
104,2.0800,0.863020,1,weight_shift,0.115451,-0.003609,-0.003426,0.000124,0.000846
105,2.1000,1.114263,1,weight_shift,0.115459,-0.003572,-0.004131,0.000520,0.005052
106,2.1200,1.365507,1,weight_shift,0.115466,-0.003520,-0.004616,0.000285,0.003313
107,2.1400,1.616751,1,weight_shift,0.115473,-0.003467,-0.005048,0.000663,0.006104
108,2.1600,1.867994,1,weight_shift,0.115478,-0.003453,-0.005312,0.000093,-0.000896
109,2.1800,2.119238,1,weight_shift,0.115478,-0.003497,-0.005474,-0.000065,-0.001851
110,2.2000,2.370482,1,weight_shift,0.115481,-0.003532,-0.005644,0.000056,-0.003223
111,2.2200,2.621725,1,weight_shift,0.115479,-0.003602,-0.005722,-0.000180,-0.003068
112,2.2400,2.872969,1,weight_shift,0.115482,-0.003584,-0.005750,0.000853,0.007724
113,2.2600,3.124213,1,weight_shift,0.115480,-0.003561,-0.005434,-0.000482,-0.002205
114,2.2800,-2.907729,1,weight_shift,0.115472,-0.003540,-0.004902,-0.000303,0.001215
115,2.3000,-2.656486,1,weight_shift,0.115465,-0.003540,-0.004248,-0.000596,-0.005729
116,2.3200,-2.405242,1,weight_shift,0.115449,-0.003620,-0.003378,-0.000817,-0.006057
117,2.3400,-2.153998,1,weight_shift,0.115440,-0.003642,-0.002591,-0.000221,-0.004091
118,2.3600,-1.902755,1,weight_shift,0.115433,-0.003651,-0.001699,-0.000410,-0.001697
119,2.3800,-1.651511,1,weight_shift,0.115426,-0.003590,-0.000880,-0.000268,0.001975
120,2.4000,-1.400267,1,weight_shift,0.115426,-0.003492,-0.000361,0.000125,0.001101
121,2.4200,-1.149024,1,weight_shift,0.115425,-0.003475,-0.000023,-0.000109,-0.000083
122,2.4400,-0.897780,1,weight_shift,0.115422,-0.003461,0.000041,-0.000167,0.000765
123,2.4600,-0.646536,1,weight_shift,0.115420,-0.003433,-0.000152,0.000112,0.005216
124,2.4800,-0.395293,1,weight_shift,0.115423,-0.003442,-0.000327,0.000050,-0.001028
125,2.5000,-0.144049,1,weight_shift,0.115423,-0.003480,-0.000686,0.000002,-0.000762
126,2.5200,0.107194,1,weight_shift,0.115423,-0.003526,-0.001319,-0.000014,-0.000097
127,2.5400,0.358438,1,weight_shift,0.115428,-0.003524,-0.002007,0.000199,-0.000313
128,2.5600,0.609682,1,weight_shift,0.115431,-0.003580,-0.002671,0.000091,-0.000597
129,2.5800,0.860925,1,weight_shift,0.115437,-0.003576,-0.003433,0.000462,0.003712
130,2.6000,1.112169,1,weight_shift,0.115444,-0.003558,-0.003999,0.000283,0.002166
131,2.6200,1.363413,1,weight_shift,0.115452,-0.003512,-0.004498,0.000732,0.006848
132,2.6400,1.614656,1,weight_shift,0.115461,-0.003460,-0.004864,0.000270,0.001969
133,2.6600,1.865900,1,weight_shift,0.115462,-0.003472,-0.005104,0.000003,-0.000784
134,2.6800,2.117144,1,weight_shift,0.115468,-0.003493,-0.005314,0.000102,-0.002663
135,2.7000,2.368387,1,weight_shift,0.115467,-0.003560,-0.005462,-0.000088,-0.002542
136,2.7200,2.619631,1,weight_shift,0.115466,-0.003585,-0.005655,0.000174,0.002382
137,2.7400,2.870874,1,weight_shift,0.115466,-0.003628,-0.005607,-0.000166,-0.003518
138,2.7600,3.122118,1,weight_shift,0.115466,-0.003587,-0.005333,-0.000237,0.000799
139,2.7800,-2.909824,1,weight_shift,0.115461,-0.003586,-0.004940,-0.000241,-0.004335
140,2.8000,-2.658580,1,weight_shift,0.115450,-0.003667,-0.004267,-0.000711,-0.006103
141,2.8200,-2.407336,1,weight_shift,0.115440,-0.003704,-0.003555,-0.000236,-0.003544
142,2.8400,-2.156093,1,weight_shift,0.115432,-0.003740,-0.002721,-0.000456,-0.003532
143,2.8600,-1.904849,1,weight_shift,0.115423,-0.003717,-0.001865,-0.000389,-0.000179
144,2.8800,-1.653605,1,weight_shift,0.115423,-0.003626,-0.001131,0.000045,0.000843
145,2.9000,-1.402362,1,weight_shift,0.115421,-0.003554,-0.000435,-0.000174,0.001975
146,2.9200,-1.151118,1,weight_shift,0.115417,-0.003490,-0.000082,-0.000156,0.001884
147,2.9400,-0.899874,1,weight_shift,0.115418,-0.003441,-0.000008,0.000135,-0.000208
148,2.9600,-0.648631,1,weight_shift,0.115418,-0.003465,-0.000013,-0.000089,-0.000879
149,2.9800,-0.397387,1,weight_shift,0.115415,-0.003479,-0.000254,-0.000117,0.000361
150,3.0000,-0.146144,1,weight_shift,0.115416,-0.003475,-0.000807,0.000199,0.006097
151,3.0200,0.105100,1,weight_shift,0.115420,-0.003501,-0.001354,0.000149,-0.001356
152,3.0400,0.356344,1,weight_shift,0.115422,-0.003574,-0.001974,0.000033,-0.001517
153,3.0600,0.607587,1,weight_shift,0.115424,-0.003604,-0.002772,0.000423,0.005289
154,3.0800,0.858831,1,weight_shift,0.115431,-0.003607,-0.003468,0.000249,0.001148
155,3.1000,1.110075,1,weight_shift,0.115435,-0.003604,-0.004056,0.000196,0.002724
156,3.1200,1.361318,1,weight_shift,0.115446,-0.003535,-0.004577,0.000404,0.003675
157,3.1400,1.612562,1,weight_shift,0.115452,-0.003504,-0.004952,0.000175,0.002139
158,3.1600,1.863806,1,weight_shift,0.115459,-0.003472,-0.005279,0.000288,0.000621
159,3.1800,2.115049,1,weight_shift,0.115461,-0.003522,-0.005441,0.000012,-0.002676
160,3.2000,2.366293,1,weight_shift,0.115461,-0.003564,-0.005643,0.000233,0.001204
161,3.2200,2.617536,1,weight_shift,0.115462,-0.003629,-0.005712,-0.000062,-0.004103
162,3.2400,2.868780,1,weight_shift,0.115458,-0.003703,-0.005659,-0.000276,-0.003570
163,3.2600,3.120024,1,weight_shift,0.115467,-0.003638,-0.005483,0.000346,0.000845
164,3.2800,-2.911918,1,weight_shift,0.115457,-0.003697,-0.005027,-0.000754,-0.005692
165,3.3000,-2.660674,1,weight_shift,0.115445,-0.003755,-0.004438,-0.000363,-0.004905
166,3.3200,-2.409431,1,weight_shift,0.115434,-0.003828,-0.003660,-0.000611,-0.005439
167,3.3400,-2.158187,1,weight_shift,0.115424,-0.003827,-0.002881,-0.000158,0.002193
168,3.3600,-1.906943,1,weight_shift,0.115421,-0.003793,-0.002032,-0.000214,-0.000815
169,3.3800,-1.655700,1,weight_shift,0.115416,-0.003716,-0.001164,-0.000190,0.002386
170,3.4000,-1.404456,1,weight_shift,0.115415,-0.003597,-0.000580,0.000117,0.003232
171,3.4200,-1.153212,1,weight_shift,0.115415,-0.003567,-0.000174,-0.000075,-0.000208
172,3.4400,-0.901969,1,weight_shift,0.115412,-0.003550,-0.000025,-0.000179,0.000772
173,3.4600,-0.650725,1,weight_shift,0.115409,-0.003533,-0.000137,-0.000143,0.001335
